STATION,STATION_NAME,ELEVATION,HLY-HIDX-NORMAL,HLY-WIND-AVGSPD,DATE_
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,566,77,20100101 00:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,563,79,20100101 01:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,560,80,20100101 02:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,555,79,20100101 03:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,555,81,20100101 04:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,551,81,20100101 05:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,548,82,20100101 06:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,546,80,20100101 07:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,552,80,20100101 08:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,581,93,20100101 09:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,616,112,20100101 10:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,644,127,20100101 11:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,664,135,20100101 12:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,675,138,20100101 13:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,681,137,20100101 14:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,678,137,20100101 15:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,670,133,20100101 16:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,653,122,20100101 17:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,623,100,20100101 18:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,602,84,20100101 19:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,590,78,20100101 20:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,582,76,20100101 21:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,576,75,20100101 22:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,572,77,20100101 23:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,569,76,20100102 00:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,565,79,20100102 01:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,562,80,20100102 02:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,558,78,20100102 03:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,558,79,20100102 04:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,554,80,20100102 05:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,552,82,20100102 06:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,550,79,20100102 07:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,555,80,20100102 08:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,584,93,20100102 09:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,618,113,20100102 10:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,646,129,20100102 11:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,666,137,20100102 12:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,678,140,20100102 13:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,684,138,20100102 14:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,681,139,20100102 15:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,672,135,20100102 16:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,655,124,20100102 17:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,625,101,20100102 18:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,604,84,20100102 19:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,592,78,20100102 20:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,584,76,20100102 21:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,578,74,20100102 22:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,573,76,20100102 23:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,570,76,20100103 00:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,566,79,20100103 01:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,563,79,20100103 02:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,559,78,20100103 03:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,560,79,20100103 04:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,556,81,20100103 05:00
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,7.3,554,83,20100103 06:00
