"DATE_","HLY_TEMP_NORMAL","HLY_WCHL_NORMAL"
"20100101 00;00","565","554"
"20100101 01;00","563","552"
"20100101 02;00","560","548"
"20100101 03;00","555","541"
"20100101 04;00","554","540"
"20100101 05;00","551","536"
"20100101 06;00","548","532"
"20100101 07;00","545","528"
"20100101 08;00","550","535"
"20100101 09;00","580","567"
"20100101 10;00","616","606"
"20100101 11;00","642","635"
"20100101 12;00","661","653"
"20100101 13;00","672","665"
"20100101 14;00","677","671"
"20100101 15;00","675","669"
"20100101 16;00","668","662"
"20100101 17;00","653","646"
"20100101 18;00","623","616"
"20100101 19;00","602","594"
"20100101 20;00","590","582"
"20100101 21;00","582","573"
"20100101 22;00","576","566"
"20100101 23;00","572","562"
"20100102 00;00","567","557"
"20100102 01;00","565","554"
"20100102 02;00","561","550"
"20100102 03;00","557","544"
"20100102 04;00","557","545"
"20100102 05;00","554","540"
"20100102 06;00","552","537"
"20100102 07;00","548","533"
"20100102 08;00","553","539"
"20100102 09;00","583","570"
"20100102 10;00","618","609"
"20100102 11;00","645","637"
"20100102 12;00","663","656"
"20100102 13;00","674","667"
"20100102 14;00","680","673"
"20100102 15;00","678","672"
"20100102 16;00","671","664"
"20100102 17;00","654","648"
"20100102 18;00","625","618"
"20100102 19;00","604","596"
"20100102 20;00","592","584"
"20100102 21;00","584","575"
"20100102 22;00","578","568"
"20100102 23;00","573","563"
"20100103 00;00","569","559"
"20100103 01;00","566","556"
"20100103 02;00","563","552"
"20100103 03;00","559","546"
"20100103 04;00","560","547"
"20100103 05;00","556","542"
"20100103 06;00","554","539"
"20100103 07;00","550","535"
"20100103 08;00","555","539"
"20100103 09;00","584","571"
"20100103 10;00","620","611"
"20100103 11;00","647","639"
"20100103 12;00","666","657"
"20100103 13;00","676","669"
"20100103 14;00","682","675"
"20100103 15;00","680","673"
"20100103 16;00","672","665"
"20100103 17;00","655","649"
"20100103 18;00","627","619"
"20100103 19;00","605","598"
"20100103 20;00","593","585"
"20100103 21;00","585","577"
"20100103 22;00","579","570"
"20100103 23;00","575","564"
"20100104 00;00","570","559"
"20100104 01;00","568","556"
"20100104 02;00","564","552"
"20100104 03;00","560","546"
"20100104 04;00","559","546"
"20100104 05;00","556","541"
"20100104 06;00","553","537"
"20100104 07;00","550","533"
"20100104 08;00","554","538"
"20100104 09;00","583","570"
"20100104 10;00","619","609"
"20100104 11;00","646","637"
"20100104 12;00","664","656"
"20100104 13;00","675","668"
"20100104 14;00","680","674"
"20100104 15;00","678","671"
"20100104 16;00","670","663"
"20100104 17;00","653","647"
"20100104 18;00","625","617"
"20100104 19;00","603","596"
"20100104 20;00","591","583"
"20100104 21;00","583","574"
"20100104 22;00","577","567"
"20100104 23;00","572","561"
"20100105 00;00","567","557"
"20100105 01;00","565","553"
"20100105 02;00","561","549"
"20100105 03;00","557","542"
"20100105 04;00","557","542"
"20100105 05;00","554","538"
"20100105 06;00","551","534"
"20100105 07;00","547","531"
"20100105 08;00","552","535"
"20100105 09;00","581","568"
"20100105 10;00","617","607"
"20100105 11;00","644","635"
"20100105 12;00","663","654"
"20100105 13;00","674","666"
"20100105 14;00","679","672"
"20100105 15;00","678","670"
"20100105 16;00","670","663"
"20100105 17;00","653","646"
"20100105 18;00","625","616"
"20100105 19;00","603","595"
"20100105 20;00","591","582"
"20100105 21;00","582","573"
"20100105 22;00","576","565"
"20100105 23;00","571","560"
"20100106 00;00","566","555"
"20100106 01;00","564","552"
"20100106 02;00","561","547"
"20100106 03;00","556","541"
"20100106 04;00","556","541"
"20100106 05;00","553","537"
"20100106 06;00","549","533"
"20100106 07;00","546","529"
"20100106 08;00","550","533"
"20100106 09;00","580","565"
"20100106 10;00","616","605"
"20100106 11;00","643","633"
"20100106 12;00","661","651"
"20100106 13;00","672","663"
"20100106 14;00","677","669"
"20100106 15;00","676","668"
"20100106 16;00","668","661"
"20100106 17;00","652","644"
"20100106 18;00","623","615"
"20100106 19;00","601","592"
"20100106 20;00","589","580"
"20100106 21;00","580","570"
"20100106 22;00","574","563"
"20100106 23;00","569","557"
"20100107 00;00","565","554"
"20100107 01;00","562","550"
"20100107 02;00","558","545"
"20100107 03;00","555","540"
"20100107 04;00","554","539"
"20100107 05;00","550","534"
"20100107 06;00","547","530"
"20100107 07;00","545","527"
"20100107 08;00","549","532"
"20100107 09;00","578","564"
"20100107 10;00","613","602"
"20100107 11;00","640","630"
"20100107 12;00","657","648"
"20100107 13;00","669","660"
"20100107 14;00","674","666"
"20100107 15;00","673","666"
"20100107 16;00","666","658"
"20100107 17;00","649","642"
"20100107 18;00","621","612"
"20100107 19;00","599","590"
"20100107 20;00","586","577"
"20100107 21;00","577","567"
"20100107 22;00","571","560"
"20100107 23;00","566","555"
"20100108 00;00","562","551"
"20100108 01;00","559","547"
"20100108 02;00","556","542"
"20100108 03;00","552","537"
"20100108 04;00","551","536"
"20100108 05;00","548","532"
"20100108 06;00","544","528"
"20100108 07;00","542","526"
"20100108 08;00","546","530"
"20100108 09;00","577","564"
"20100108 10;00","613","602"
"20100108 11;00","639","629"
"20100108 12;00","656","647"
"20100108 13;00","668","660"
"20100108 14;00","673","665"
"20100108 15;00","672","664"
"20100108 16;00","664","656"
"20100108 17;00","648","640"
"20100108 18;00","620","612"
"20100108 19;00","597","588"
"20100108 20;00","585","575"
"20100108 21;00","576","566"
"20100108 22;00","569","558"
"20100108 23;00","565","554"
"20100109 00;00","561","550"
"20100109 01;00","558","546"
"20100109 02;00","554","541"
"20100109 03;00","551","536"
"20100109 04;00","549","535"
"20100109 05;00","546","530"
"20100109 06;00","543","527"
"20100109 07;00","541","525"
"20100109 08;00","545","529"
"20100109 09;00","577","564"
"20100109 10;00","613","603"
"20100109 11;00","640","630"
"20100109 12;00","657","648"
"20100109 13;00","669","661"
"20100109 14;00","674","666"
"20100109 15;00","672","665"
"20100109 16;00","664","657"
"20100109 17;00","648","641"
"20100109 18;00","620","612"
"20100109 19;00","598","589"
"20100109 20;00","585","576"
"20100109 21;00","576","566"
"20100109 22;00","570","559"
"20100109 23;00","565","554"
"20100110 00;00","562","550"
"20100110 01;00","558","545"
"20100110 02;00","554","541"
"20100110 03;00","551","537"
"20100110 04;00","550","536"
"20100110 05;00","547","532"
"20100110 06;00","544","528"
"20100110 07;00","542","526"
"20100110 08;00","546","530"
"20100110 09;00","579","566"
"20100110 10;00","614","604"
"20100110 11;00","641","632"
"20100110 12;00","658","649"
"20100110 13;00","669","662"
"20100110 14;00","675","668"
"20100110 15;00","673","666"
"20100110 16;00","665","658"
"20100110 17;00","649","642"
"20100110 18;00","622","614"
"20100110 19;00","599","591"
"20100110 20;00","586","577"
"20100110 21;00","577","568"
"20100110 22;00","571","560"
"20100110 23;00","566","555"
"20100111 00;00","562","551"
"20100111 01;00","559","547"
"20100111 02;00","555","542"
"20100111 03;00","552","538"
"20100111 04;00","551","537"
"20100111 05;00","548","532"
"20100111 06;00","545","529"
"20100111 07;00","542","526"
